K,Source Device ID,Time_90,Chunk Copies,% Devices Reached
42,4463,inf,159,9.286
42,3481,inf,902,52.409
43,3476,inf,953,55.369
43,11071,inf,216,12.594
43,155,inf,1279,74.289
43,1598,inf,172,10.041
43,8344,inf,633,36.796
43,2046,inf,1505,87.406
43,7393,inf,380,22.113
43,8350,inf,633,36.796
43,1325,inf,1387,80.557
43,9334,inf,149,8.706
43,1977,inf,1465,85.084
43,1059,inf,1491,86.593
43,706,inf,958,55.659
43,8757,inf,680,39.524
43,20,inf,1482,86.071
43,2812,inf,1325,76.959
43,2057,inf,1178,68.427
43,11056,inf,194,11.317
43,11560,inf,554,32.211
43,157,inf,1280,74.347
43,762,inf,908,52.757
43,1117,inf,764,44.399
43,2620,inf,1376,79.919
43,3279,inf,1188,69.008
43,8736,inf,681,39.582
43,5687,inf,1392,80.847
43,1452,inf,288,16.773
43,2631,inf,1322,76.785
43,6812,inf,1117,64.887
43,4705,inf,1169,67.905
43,6561,inf,1470,85.374
43,1040,inf,944,54.846
43,7241,inf,957,55.601
43,858,inf,1440,83.633
43,10435,inf,699,40.627
43,8384,inf,635,36.912
43,1071,inf,816,47.417
43,1394,inf,1216,70.633
43,792,inf,643,37.377
43,7779,inf,1504,87.348
43,10690,inf,1400,81.312
43,1356,inf,1253,72.780
43,8481,inf,143,8.358
43,11867,inf,10,0.638
43,4571,inf,142,8.299
43,9822,inf,641,37.261
43,8348,inf,633,36.796
43,4808,inf,965,56.065
43,8315,inf,643,37.377
43,541,inf,1512,87.812
43,2452,inf,874,50.784
43,265,inf,1232,71.561
43,2613,inf,1376,79.919
43,11870,inf,10,0.638
43,5349,inf,823,47.824
43,1189,inf,914,53.105
43,4702,inf,1037,60.244
43,2616,inf,1376,79.919
43,7261,inf,958,55.659
43,2683,inf,1349,78.352
43,4720,inf,1022,59.373
43,1208,inf,909,52.815
43,9547,inf,389,22.635
43,2205,inf,1508,87.580
43,7588,inf,1512,87.812
43,1400,inf,411,23.912
43,6676,inf,1442,83.749
43,1244,inf,657,38.189
43,6610,inf,1456,84.562
43,206,inf,1252,72.722
43,135,inf,1289,74.869
43,3289,inf,1145,66.512
43,2553,inf,859,49.913
43,4044,inf,1470,85.374
43,41,inf,1516,88.044
43,250,inf,1269,73.709
43,8368,inf,637,37.028
43,8487,inf,142,8.299
43,1470,inf,288,16.773
43,2671,inf,1445,83.923
43,7419,inf,364,21.184
43,317,inf,1201,69.762
43,961,inf,1469,85.316
43,11102,inf,214,12.478
43,6064,inf,1261,73.244
43,638,inf,1198,69.588
43,280,inf,1228,71.329
43,9569,inf,15,0.929
43,1655,inf,141,8.241
43,8760,inf,680,39.524
43,100,inf,1492,86.651
43,553,inf,1499,87.057
43,7243,inf,957,55.601
43,846,inf,1496,86.883
43,1053,inf,1475,85.665
43,525,inf,1174,68.195
43,10976,inf,460,26.756
43,8264,inf,966,56.123
43,4463,inf,159,9.286
43,3481,inf,905,52.583
44,3476,inf,957,55.601
44,11071,inf,218,12.710
44,155,inf,1288,74.811
44,1598,inf,173,10.099
44,8344,inf,638,37.086
44,2046,inf,1514,87.928
44,7393,inf,380,22.113
44,8350,inf,638,37.086
44,1325,inf,1396,81.080
44,9334,inf,149,8.706
44,1977,inf,1474,85.607
44,1059,inf,1502,87.232
44,706,inf,962,55.891
44,8757,inf,684,39.756
44,20,inf,1494,86.767
44,2812,inf,1334,77.481
44,2057,inf,1186,68.891
44,11056,inf,219,12.768
44,11560,inf,557,32.385
44,157,inf,1289,74.869
44,762,inf,912,52.989
44,1117,inf,767,44.573
44,2620,inf,1387,80.557
44,3279,inf,1194,69.356
44,8736,inf,685,39.814
44,5687,inf,1399,81.254
44,1452,inf,291,16.947
44,2631,inf,1329,77.191
44,6812,inf,1123,65.235
44,4705,inf,1175,68.253
44,6561,inf,1479,85.897
44,1040,inf,947,55.020
44,7241,inf,963,55.949
44,858,inf,1449,84.156
44,10435,inf,703,40.859
44,8384,inf,637,37.028
44,1071,inf,820,47.649
44,1394,inf,1222,70.981
44,792,inf,648,37.667
44,7779,inf,1515,87.986
44,10690,inf,1407,81.718
44,1356,inf,1259,73.128
44,8481,inf,143,8.358
44,11867,inf,10,0.638
44,4571,inf,142,8.299
44,9822,inf,645,37.493
44,8348,inf,638,37.086
44,4808,inf,969,56.297
44,8315,inf,647,37.609
44,541,inf,1523,88.450
44,2452,inf,877,50.958
44,265,inf,1239,71.967
44,2613,inf,1387,80.557
44,11870,inf,10,0.638
44,5349,inf,827,48.056
44,1189,inf,919,53.395
44,4702,inf,1043,60.592
44,2616,inf,1387,80.557
44,7261,inf,964,56.007
44,2683,inf,1358,78.874
44,4720,inf,1027,59.663
44,1208,inf,913,53.047
44,9547,inf,389,22.635
44,2205,inf,1520,88.276
44,7588,inf,1524,88.508
44,1400,inf,413,24.028
44,6676,inf,1452,84.330
44,1244,inf,661,38.421
44,6610,inf,1465,85.084
44,206,inf,1259,73.128
44,135,inf,1297,75.334
44,3289,inf,1151,66.860
44,2553,inf,863,50.145
44,4044,inf,1482,86.071
44,41,inf,1527,88.683
44,250,inf,1278,74.231
44,8368,inf,641,37.261
44,8487,inf,142,8.299
44,1470,inf,291,16.947
44,2671,inf,1457,84.620
44,7419,inf,364,21.184
44,317,inf,1206,70.052
44,961,inf,1481,86.013
44,11102,inf,216,12.594
44,6064,inf,1269,73.709
44,638,inf,1204,69.936
44,280,inf,1235,71.735
44,9569,inf,15,0.929
44,1655,inf,162,9.460
